DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD= Rt,RESM,SP,TENS,,porosity,log rt,calculated log rt,,,
317.754,20,18.7654,2.1369,0.0172637,143.398,59.8018,0.435922,26.4535,23.191,62.5896,223.1493,0.5131,0.310969697,1.422483141,-2.585430219,,,
317.9064,20,18.8677,2.1527,0.0176609,142.5618,61.0328,0.440737,26.4476,23.125,62.7194,223.6827,0.4973,0.301393939,1.422386268,-2.639764441,,,
318.0588,20,18.9614,2.1583,0.0201091,142.5796,60.9733,0.435708,26.5435,23.1766,62.7425,224.0712,0.4917,0.298,1.423958188,-2.659437444,,,
318.2112,20,19.0411,2.1475,0.025822,143.9566,58.8593,0.41501,26.8012,23.4151,62.5956,224.2291,0.5025,0.304545455,1.42815424,-2.621694013,,,
318.3636,20,19.1208,2.1368,0.0315349,145.3338,56.7454,0.394313,27.059,23.6537,62.4487,224.3869,0.5132,0.311030303,1.432311743,-2.585091687,,,
318.516,20,19.1909,2.1282,0.0361039,146.3999,54.8744,0.376354,27.2934,23.8758,62.2633,224.5155,0.5218,0.316242424,1.43605764,-2.556221979,,,
318.6684,20,19.1797,2.1371,0.0309211,144.8155,55.0738,0.38174,27.329,23.9572,61.75,224.3939,0.5129,0.310848485,1.436623741,-2.586107481,,,
318.8208,20,19.1684,2.1459,0.0257383,143.2311,55.2733,0.387125,27.3646,24.0386,61.2366,224.2723,0.5041,0.305515152,1.437189104,-2.616171488,,,
318.9732,20,19.1572,2.1548,0.0205555,141.6467,55.4728,0.392511,27.4001,24.1201,60.7233,224.1508,0.4952,0.300121212,1.437752148,-2.647115734,,,
319.1256,20,19.2251,2.1626,0.0243491,141.3493,57.5604,0.397919,27.3878,24.0782,60.064,223.6599,0.4874,0.295393939,1.437557148,-2.674696178,,,
319.278,20,19.31,2.1702,0.0300581,141.3265,60.0508,0.40333,27.3652,24.0101,59.3736,223.0901,0.4798,0.290787879,1.437198627,-2.701997303,,,
319.4304,20,19.3949,2.1778,0.035767,141.3037,62.5413,0.408742,27.3426,23.942,58.6832,222.5204,0.4722,0.286181818,1.436839809,-2.729734347,,,
319.5828,20,19.4172,2.1766,0.034142,141.1707,62.9953,0.411912,27.2285,23.8468,58.1808,222.3588,0.4734,0.286909091,1.435023717,-2.725325263,,,
319.7352,20,19.387,2.168,0.0263522,140.9451,61.7375,0.413197,27.0373,23.7289,57.8366,222.5403,0.482,0.292121212,1.43196332,-2.694050125,,,
319.8876,20,19.3567,2.1593,0.0185623,140.7195,60.4798,0.414482,26.8461,23.611,57.4923,222.7217,0.4907,0.297393939,1.428881204,-2.662974046,,,
320.04,20,19.3703,2.1554,0.0137043,140.8569,59.853,0.41694,26.6641,23.4783,57.2456,222.986,0.4946,0.299757576,1.425926929,-2.64922183,,,
320.1924,20,19.5072,2.1647,0.0170848,142.0141,60.999,0.422695,26.5078,23.3041,57.2729,223.4832,0.4853,0.294121212,1.423373685,-2.682197112,,,
320.3448,20,19.6441,2.174,0.0204653,143.1713,62.1451,0.42845,26.3516,23.1299,57.3002,223.9803,0.476,0.288484848,1.42080699,-2.715810467,,,
320.4972,20,19.7809,2.1833,0.0238457,144.3285,63.2911,0.434204,26.1953,22.9557,57.3275,224.4774,0.4667,0.282848485,1.418223377,-2.750087074,,,
320.6496,20,19.9562,2.1759,0.0230378,142.8613,61.9182,0.431776,26.3674,22.8756,57.1464,224.499,0.4741,0.287333333,1.421067308,-2.722758456,,,
320.802,20,20.1322,2.1682,0.0221515,141.345,60.4982,0.429194,26.5456,22.7973,56.9614,224.5117,0.4818,0.292,1.423992546,-2.694771095,,,
320.9544,20,20.3082,2.1605,0.0212651,139.8287,59.0782,0.426611,26.7238,22.719,56.7765,224.5244,0.4895,0.296666667,1.426898213,-2.667227493,,,
321.1068,20,20.3819,2.1565,0.020223,139.823,58.0377,0.422124,26.8574,22.8549,56.5525,224.7317,0.4935,0.299090909,1.429063967,-2.65308965,,,
321.2592,20,20.4119,2.1541,0.0191144,140.4623,57.1594,0.416823,26.9718,23.0822,56.312,225.022,0.4959,0.300545455,1.430909931,-2.644661844,,,
321.4116,20,20.4419,2.1517,0.0180059,141.1016,56.281,0.411523,27.0862,23.3095,56.0714,225.3123,0.4983,0.302,1.432748081,-2.636274729,,,
321.564,20,20.4749,2.1456,0.0182583,142.1466,56.8187,0.408652,27.2873,23.5961,55.8631,225.3184,0.5044,0.30569697,1.435960566,-2.615137966,,,
321.7164,20,20.5119,2.1346,0.0203907,143.7519,59.3124,0.40914,27.6079,23.9646,55.6994,224.9319,0.5154,0.312363636,1.441033373,-2.577660621,,,
321.8688,20,20.549,2.1235,0.0225231,145.3572,61.8061,0.409627,27.9285,24.3331,55.5357,224.5454,0.5265,0.319090909,1.446047611,-2.540644776,,,
322.0212,20,20.5323,2.1135,0.0234497,146.4558,63.7356,0.409624,28.3369,24.7474,55.4183,224.0611,0.5365,0.325151515,1.452352338,-2.507959372,,,
322.1736,20,20.1821,2.1098,0.0169134,144.4191,62.1737,0.406594,29.2882,25.445,55.5874,222.9706,0.5402,0.327393939,1.466692682,-2.496019958,,,
322.326,20,19.832,2.106,0.0103771,142.3824,60.6118,0.403563,30.2396,26.1426,55.7566,221.8802,0.544,0.32969697,1.480576042,-2.483842679,,,
322.4784,20,19.4819,2.1023,0.0038407,140.3457,59.0499,0.400532,31.1909,26.8402,55.9257,220.7897,0.5477,0.331939394,1.494027906,-2.472067314,,,
322.6308,20,19.5499,2.117,0.0164833,140.1877,58.5433,0.40909,30.9421,27.7908,56.0478,221.4029,0.533,0.323030303,1.490549785,-2.519329442,,,
